LAD13CD,LAD13CDO,LAD13NM,NUTS315CD,NUTS315NM,NUTS215CD,NUTS215NM,NUT115CD,NUTS115NM,FID
E07000130,31UC,Charnwood,UKF22,Leicestershire CC and Rutland,UKF2,"Leicestershire, Rutland and Northamptonshire",UKF,East Midlands (England),159
E07000131,31UD,Harborough,UKF22,Leicestershire CC and Rutland,UKF2,"Leicestershire, Rutland and Northamptonshire",UKF,East Midlands (England),160
E07000132,31UE,Hinckley and Bosworth,UKF22,Leicestershire CC and Rutland,UKF2,"Leicestershire, Rutland and Northamptonshire",UKF,East Midlands (England),161
E07000133,31UG,Melton,UKF22,Leicestershire CC and Rutland,UKF2,"Leicestershire, Rutland and Northamptonshire",UKF,East Midlands (England),162
E07000134,31UH,North West Leicestershire,UKF22,Leicestershire CC and Rutland,UKF2,"Leicestershire, Rutland and Northamptonshire",UKF,East Midlands (England),163
E07000135,31UJ,Oadby and Wigston,UKF22,Leicestershire CC and Rutland,UKF2,"Leicestershire, Rutland and Northamptonshire",UKF,East Midlands (England),164
E07000136,32UB,Boston,UKF30,Lincolnshire,UKF3,Lincolnshire,UKF,East Midlands (England),165
E07000137,32UC,East Lindsey,UKF30,Lincolnshire,UKF3,Lincolnshire,UKF,East Midlands (England),166
E07000138,32UD,Lincoln,UKF30,Lincolnshire,UKF3,Lincolnshire,UKF,East Midlands (England),167
E07000139,32UE,North Kesteven,UKF30,Lincolnshire,UKF3,Lincolnshire,UKF,East Midlands (England),168
E07000140,32UF,South Holland,UKF30,Lincolnshire,UKF3,Lincolnshire,UKF,East Midlands (England),169
E07000141,32UG,South Kesteven,UKF30,Lincolnshire,UKF3,Lincolnshire,UKF,East Midlands (England),170
E07000142,32UH,West Lindsey,UKF30,Lincolnshire,UKF3,Lincolnshire,UKF,East Midlands (England),171
E07000143,33UB,Breckland,UKH17,Breckland and South Norfolk,UKH1,East Anglia,UKH,East of England,172
E07000144,33UC,Broadland,UKH15,Norwich and East Norfolk,UKH1,East Anglia,UKH,East of England,173
E07000145,33UD,Great Yarmouth,UKH15,Norwich and East Norfolk,UKH1,East Anglia,UKH,East of England,174
E07000146,33UE,King's Lynn and West Norfolk,UKH16,North and West Norfolk,UKH1,East Anglia,UKH,East of England,175
E07000147,33UF,North Norfolk,UKH16,North and West Norfolk,UKH1,East Anglia,UKH,East of England,176
E07000148,33UG,Norwich,UKH15,Norwich and East Norfolk,UKH1,East Anglia,UKH,East of England,177
E07000149,33UH,South Norfolk,UKH17,Breckland and South Norfolk,UKH1,East Anglia,UKH,East of England,178
E07000150,34UB,Corby,UKF25,North Northamptonshire,UKF2,"Leicestershire, Rutland and Northamptonshire",UKF,East Midlands (England),179
E07000151,34UC,Daventry,UKF24,West Northamptonshire,UKF2,"Leicestershire, Rutland and Northamptonshire",UKF,East Midlands (England),180
E07000152,34UD,East Northamptonshire,UKF25,North Northamptonshire,UKF2,"Leicestershire, Rutland and Northamptonshire",UKF,East Midlands (England),181
E07000153,34UE,Kettering,UKF25,North Northamptonshire,UKF2,"Leicestershire, Rutland and Northamptonshire",UKF,East Midlands (England),182
E07000154,34UF,Northampton,UKF24,West Northamptonshire,UKF2,"Leicestershire, Rutland and Northamptonshire",UKF,East Midlands (England),183
